name,team,min,uast,ts
Larry Hughes,GSW,36.9,0.435,0.449
Larry Johnson,NYK,32.4,0.443,0.493
Larry Robinson,ATL,18.6,0.239,0.511
Latrell Sprewell,NYK,39.1,0.611,0.497
Lawrence Funderburke,SAC,11.8,0.358,0.522
Lee Nailon,CHH,11.1,0.348,0.529
Lindsey Hunter,MIL,24.4,0.329,0.5
Lorenzen Wright,ATL,28.0,0.383,0.486
Loy Vaught,WAS,10.8,0.275,0.484
Lucious Harris,NJN,28.4,0.343,0.498
Mahmoud Abdul-Rauf,VAN,11.8,0.458,0.514
Malik Rose,SAS,21.4,0.3,0.498
Marc Jackson,GSW,29.3,0.38,0.534
Marcus Camby,NYK,33.8,0.332,0.559
Marcus Fizer,CHI,22.0,0.356,0.476
Mario Elie,PHX,22.2,0.221,0.541
Mark Blount,BOS,17.2,0.446,0.541
Mark Jackson,NYK,31.1,0.512,0.505
Mark Pope,MIL,14.9,0.258,0.48
Mark Strickland,NJN,13.1,0.272,0.465
Mateen Cleaves,DET,16.2,0.619,0.458
Matt Bullard,HOU,16.4,0.124,0.569
Matt Geiger,PHI,15.5,0.307,0.43
Matt Harpring,CLE,28.8,0.239,0.522
Matt Maloney,ATL,25.5,0.541,0.508
Maurice Taylor,HOU,28.5,0.433,0.518
Metta World Peace,CHI,31.1,0.388,0.483
Michael Curry,DET,21.9,0.262,0.507
Michael Dickerson,VAN,37.4,0.372,0.501
Michael Doleac,ORL,18.1,0.109,0.443
Michael Finley,DAL,42.0,0.48,0.521
Michael Olowokandi,LAC,25.9,0.49,0.451
Michael Ruffin,CHI,19.5,0.375,0.48
Michael Smith,WAS,20.4,0.406,0.527
Mike Bibby,VAN,38.9,0.429,0.525
Mike Miller,ORL,29.1,0.215,0.541
Mike Penberthy,LAL,16.0,0.228,0.567
Mikki Moore,DET,14.2,0.417,0.552
Milt Palacio,BOS,19.7,0.54,0.556
Mitch Richmond,WAS,32.9,0.351,0.521
Monty Williams,ORL,14.7,0.414,0.485
Moochie Norris,HOU,20.1,0.679,0.546
Mookie Blaylock,GSW,34.1,0.533,0.455
Morris Peterson,TOR,22.6,0.31,0.507
Nazr Mohammed,ATL,15.8,0.364,0.52
